,Unique_Key,Created_Date,Agency,Agency_Name,Complaint_Type,Descriptor,Location_Type,Incident_Zip,Incident_Address,Street_Name,Cross_Street_1,Cross_Street_2,Address_Type,City,Facility_Type,Status,Due_Date,Resolution_Action_Updated_Date,Community_Board,Borough,X_Coordinate_(State_Plane),Y_Coordinate_(State_Plane),Park_Facility_Name,Park_Borough,School_Name,School_Number,School_Region,School_Code,School_Phone_Number,School_Address,School_City,School_State,School_Zip,School_Not_Found,Latitude,Longitude,Location,District
1,26593698,2013-10-31 02:01:04,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11378,58 AVENUE,58 AVENUE,58 PLACE,59 STREET,BLOCKFACE,MASPETH,Precinct,Open,2013-10-31 10:01:04,,05 QUEENS,QUEENS,1009349,201984,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,40.721040535628305,-73.90945306791765,"(40.721040535628305, -73.90945306791765)",QUEENS
116,26591037,2013-10-30 23:20:57,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11417,133-40 85 STREET,85 STREET,133 AVENUE,135 AVENUE,ADDRESS,OZONE PARK,Precinct,Closed,2013-10-31 07:20:57,2013-10-31 00:43:48,10 QUEENS,QUEENS,1025545,184675,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,40.67347065165803,-73.8511307325341,"(40.67347065165803, -73.8511307325341)",QUEENS
117,26592954,2013-10-30 23:20:26,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11365,197-05A 65 CRESCENT,65 CRESCENT,BEND,67 AVENUE,ADDRESS,FRESH MEADOWS,Precinct,Closed,2013-10-31 07:20:26,2013-10-31 01:18:56,08 QUEENS,QUEENS,1046083,208946,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,40.73996897148448,-73.7768682381755,"(40.73996897148448, -73.7768682381755)",QUEENS
140,26592551,2013-10-30 23:01:49,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11379,77-15 58 AVENUE,58 AVENUE,77 PLACE,78 STREET,ADDRESS,MIDDLE VILLAGE,Precinct,Assigned,2013-10-31 07:01:49,2013-10-30 23:12:46,05 QUEENS,QUEENS,1016525,204030,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,40.726633034808366,-73.8835552085296,"(40.726633034808366, -73.8835552085296)",QUEENS
186,26591575,2013-10-30 22:33:28,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11691,14-28 CHANDLER STREET,CHANDLER STREET,NAMEOKE AVENUE,BATTERY ROAD,ADDRESS,FAR ROCKAWAY,Precinct,Closed,2013-10-31 06:33:28,2013-10-30 23:06:35,14 QUEENS,QUEENS,1052018,161195,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,40.608860268959695,-73.75593130211928,"(40.608860268959695, -73.75593130211928)",QUEENS
193,26594762,2013-10-30 22:31:22,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11356,20-42 125 STREET,125 STREET,20 AVENUE,22 AVENUE,ADDRESS,COLLEGE POINT,Precinct,Closed,2013-10-31 06:31:22,2013-10-31 02:27:06,07 QUEENS,QUEENS,1027664,224007,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,40.78141708195395,-73.84323796414719,"(40.78141708195395, -73.84323796414719)",QUEENS
253,26592844,2013-10-30 21:46:18,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11379,,,,,INTERSECTION,MIDDLE VILLAGE,Precinct,Closed,2013-10-31 05:46:18,2013-10-30 22:39:09,05 QUEENS,QUEENS,1018803,197497,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,40.7086929311143,-73.8753699708503,"(40.7086929311143, -73.8753699708503)",QUEENS
284,26592833,2013-10-30 21:27:13,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11433,,,,,INTERSECTION,JAMAICA,Precinct,Closed,2013-10-31 05:27:13,2013-10-31 00:44:51,12 QUEENS,QUEENS,1041778,195253,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,40.70241414798045,-73.79252032151341,"(40.70241414798045, -73.79252032151341)",QUEENS
293,26594635,2013-10-30 21:22:34,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11361,,,,,INTERSECTION,BAYSIDE,Precinct,Closed,2013-10-31 05:22:34,2013-10-30 22:29:36,11 QUEENS,QUEENS,1045979,214202,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,40.75439605091989,-73.77719529050601,"(40.75439605091989, -73.77719529050601)",QUEENS
319,26592819,2013-10-30 21:10:54,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11413,185-11 WILLIAMSON AVENUE,WILLIAMSON AVENUE,MONTAUK STREET,NELLIS STREET,ADDRESS,SPRINGFIELD GARDENS,Precinct,Closed,2013-10-31 05:10:54,2013-10-31 01:50:31,12 QUEENS,QUEENS,1051513,187189,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,40.680211769230816,-73.75749088965092,"(40.680211769230816, -73.75749088965092)",QUEENS
